title,medicacoes_doses,diagnosticos_diferenciais,nivel_risco,palavras_chave_clinicas,conduta_emergencia
RN prematuro com SDR,"CPAP precoce. Surfactante conforme protocolo neonatal; considerar LISA quando disponível, mantendo CPAP. Oxigênio titulado por alvo de saturação neonatal. ⚠️ Confirmar protocolo local e peso.","Taquipneia transitória do RN; aspiração meconial; pneumonia neonatal; sepse neonatal; cardiopatia congênita.","Alto","rn,prematuro,gemencia,saturacao baixa,sat baixa,desconforto respiratorio,sdr,surfactante,cpap,lisa","Avaliar via aérea, respiração, SatO2 e temperatura. Iniciar CPAP se desconforto moderado/grave. Considerar surfactante se necessidade crescente de O2 ou falha de CPAP. Monitorar em unidade neonatal."
Sepse neonatal precoce,"Ampicilina + gentamicina conforme protocolo neonatal local. Coletar culturas antes se não atrasar antibiótico. Suporte hemodinâmico e respiratório. ⚠️ Dose depende de idade gestacional, idade pós-natal, peso e função renal.","SDR; pneumonia neonatal; hipoglicemia; cardiopatia; erro inato do metabolismo; enterocolite necrosante.","Alto","rn,sepse,hipotermia,febre,letargia,apneia,ma perfusao,recusa alimentar,gemencia","RN instável: internar, monitorizar, acesso venoso, coletar hemocultura se possível e iniciar antibiótico imediatamente. Não esperar febre alta."
Reanimação neonatal,"VPP é a intervenção central. Adrenalina em reanimação avançada conforme protocolo neonatal. Expansor se suspeita de hipovolemia. ⚠️ Usar diretriz de reanimação neonatal e peso estimado.","Asfixia perinatal; depressão por drogas maternas; prematuridade; malformação de via aérea; sepse precoce.","Alto","rn,nascimento,apneia,bradicardia,fc baixa,vpp,reanimacao,baixo tonus","Aquecer, posicionar, secar, estimular. Se apneia/gasping ou FC baixa, iniciar VPP efetiva. Reavaliar FC. Se FC <60 após ventilação efetiva, iniciar compressões e escalar."
Icterícia neonatal,"Fototerapia conforme curva por idade em horas, idade gestacional e fatores de risco. Exsanguíneotransfusão se critérios. ⚠️ Não usar dose fixa; usar curva atualizada.","Icterícia fisiológica; doença hemolítica; deficiência G6PD; aleitamento insuficiente; sepse; atresia biliar se colestase.","Moderado","rn,ictericia,bilirrubina,fototerapia,kramer,amarelado,menos de 24 horas","Se icterícia <24h ou sinais neurológicos: dosar bilirrubina imediatamente, avaliar fatores de risco e iniciar fototerapia se indicada. Investigar causa."
Hipoglicemia neonatal,"Glicose 10% EV 2 a 5 mL/kg para correção imediata em RN/criança pequena sintomática, conforme material anexado. Evitar G25/G50 puras em neonatos. ⚠️ Reavaliar glicemia e manter infusão conforme protocolo.","Sepse neonatal; erro inato metabolismo; asfixia; prematuridade; filho de mãe diabética; PIG/GIG.","Alto","rn,hipoglicemia,tremores,convulsao,glicemia baixa,filho de mae diabetica,prematuro,pig,gig","Se sintomático: checar glicemia e corrigir imediatamente com glicose 10% EV. Monitorar recorrência e investigar fator de risco."
Prematuridade,"Vitamina D, ferro, cafeína, nutrição enteral/parenteral e suporte respiratório conforme idade gestacional/peso/protocolo. Leite humano é fator protetor contra ECN. ⚠️ Doses dependem de IG/peso.","SDR; sepse; hipoglicemia; enterocolite necrosante; hemorragia intraventricular; anemia da prematuridade.","Moderado/Alto","prematuro,baixo peso,uti neonatal,leite humano,ecn,cpap,apneia,hipotermia","Garantir temperatura, glicemia, respiração, nutrição com leite humano quando possível e prevenção de infecção. Avaliar risco respiratório/metabólico."
Choque séptico,"Cristaloide isotônico 20 mL/kg em bolus com reavaliação. Antibiótico precoce. Vasoativo se choque refratário: adrenalina/noradrenalina conforme perfil. ⚠️ Reavaliar perfusão após cada bolus.","Desidratação grave; choque hipovolêmico; choque cardiogênico; anafilaxia; sepse grave; miocardite.","Alto","choque,sepse,tec aumentado,extremidades frias,taquicardia,oliguria,hipotensao,lactato,ma perfusao","Oxigênio, acesso venoso/intraósseo, cristaloide 20 mL/kg e reavaliação, antibiótico precoce e suporte vasoativo se refratário. Não esperar hipotensão."
Asma grave,"Salbutamol inalatório repetido/contínuo conforme gravidade. Corticoide sistêmico precoce. Ipratrópio em crise grave. Sulfato de magnésio se falha terapêutica inicial. ⚠️ Dose por peso e protocolo local.","Bronquiolite; pneumonia; corpo estranho; anafilaxia; laringite; insuficiência cardíaca.","Alto","asma,sibilancia,tiragem,sat baixa,silencio toracico,broncoespasmo,dispneia,hipoxemia","Avaliar SatO2, fala, esforço e consciência. Oxigênio se hipoxemia, salbutamol, corticoide precoce e escalar para magnésio/UTI se grave ou refratária."
Cetoacidose diabética,"Hidratação inicial cautelosa. Insulina regular EV após fase inicial e avaliação do potássio. Repor potássio conforme níveis/diurese. Evitar bicarbonato de rotina. ⚠️ Monitorar edema cerebral.","Gastroenterite; sepse; intoxicação; abdome agudo; crise asmática com acidose; erro inato metabolismo.","Alto","cad,diabetes,kussmaul,glicemia alta,cetonas,acidose,vomitos,desidratacao,edema cerebral","Avaliar consciência, hidratação, glicemia, cetonas, gasometria e eletrólitos. Hidratar primeiro, depois insulina EV conforme protocolo. Vigiar sinais neurológicos."
Convulsão febril,"Se crise >5 min: benzodiazepínico conforme protocolo local. Antitérmico para conforto, não previne recorrência. ⚠️ Dose por peso e via disponível.","Meningite; encefalite; epilepsia; hipoglicemia; distúrbio eletrolítico; intoxicação.","Moderado","convulsao,febre,crise,meningite,rigidez nuca,focal,mais de 15 minutos","ABC, proteger via aérea, medir glicemia se indicado. Se crise prolongada, benzodiazepínico. Procurar sinais meníngeos, focalidade ou alteração persistente."
Desidratação grave,"Cristaloide isotônico 20 mL/kg em bolus se choque/má perfusão, com reavaliação. Plano C conforme protocolo. ⚠️ Corrigir eletrólitos conforme exames se grave.","Choque séptico; CAD; abdome agudo; sepse; intoxicação; insuficiência adrenal.","Alto","desidratacao,diarreia,vomitos,letargia,tec aumentado,pulso fino,oliguria,choque","Se má perfusão: expansão com cristaloide 20 mL/kg e reavaliar. Monitorar diurese, consciência e eletrólitos. Se sem choque, hidratação conforme plano."